image_number,ground_truth,predicted,status,num_wbcs_detected,has_multiple_gt,nucleus_features,cytoplasm_features
0,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 15192.5, 'circularity': 0.21588115871447275, 'solidity': 0.7047104390379665, 'num_lobes': 1}","{'mean_hue': np.float64(117.57902892561984), 'texture_variance': np.float64(100.3948104595326), 'cn_ratio': np.float64(1.3734038436734168)}"
1,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 13036.0, 'circularity': 0.413386587050231, 'solidity': 0.8007371007371007, 'num_lobes': 1}","{'mean_hue': np.float64(109.84206092938369), 'texture_variance': np.float64(94.15248038352523), 'cn_ratio': np.float64(1.621320182094082)}"
2,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 8910.0, 'circularity': 0.45555070102112616, 'solidity': 0.9048900624587417, 'num_lobes': 1}","{'mean_hue': np.float64(115.17607941403239), 'texture_variance': np.float64(83.01950202642774), 'cn_ratio': np.float64(1.192369570213744)}"
3,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 16119.0, 'circularity': 0.430335432517682, 'solidity': 0.8335186286423456, 'num_lobes': 1}","{'mean_hue': np.float64(101.76482549891233), 'texture_variance': np.float64(86.1135905520155), 'cn_ratio': np.float64(1.3750812849525296)}"
4,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 13825.0, 'circularity': 0.28656747251003295, 'solidity': 0.8064516129032258, 'num_lobes': 1}","{'mean_hue': np.float64(111.06548347613219), 'texture_variance': np.float64(89.41459899376841), 'cn_ratio': np.float64(1.5467851161435957)}"
5,NEUTROPHIL,NEUTROPHIL,correct,2,False,"{'area': 8194.0, 'circularity': 0.3048682510743108, 'solidity': 0.7310849393290507, 'num_lobes': 1}","{'mean_hue': np.float64(111.47957511723826), 'texture_variance': np.float64(106.31532115948076), 'cn_ratio': np.float64(2.17112365063788)}"
6,NEUTROPHIL,EOSINOPHIL,incorrect,1,False,"{'area': 13343.0, 'circularity': 0.5286856050567829, 'solidity': 0.8909291222915902, 'num_lobes': 1}","{'mean_hue': np.float64(95.5852705061082), 'texture_variance': np.float64(70.09339253736343), 'cn_ratio': np.float64(1.0930942388401375)}"
7,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 11830.0, 'circularity': 0.4950505058656139, 'solidity': 0.8799464445105624, 'num_lobes': 1}","{'mean_hue': np.float64(108.89110005527915), 'texture_variance': np.float64(87.26526231592754), 'cn_ratio': np.float64(1.352691924227318)}"
8,BASOPHIL,NEUTROPHIL,incorrect,1,False,"{'area': 18322.0, 'circularity': 0.4649440550392814, 'solidity': 0.8669852836795533, 'num_lobes': 1}","{'mean_hue': np.float64(104.80724771702694), 'texture_variance': np.float64(96.20563741210375), 'cn_ratio': np.float64(0.953330762025456)}"
9,EOSINOPHIL,MONOCYTE,incorrect,1,False,"{'area': 16015.0, 'circularity': 0.2546863218049145, 'solidity': 0.6969406849732365, 'num_lobes': 1}","{'mean_hue': np.float64(86.08572130744655), 'texture_variance': np.float64(76.05473846968016), 'cn_ratio': np.float64(1.2396417255666585)}"
10,NEUTROPHIL,NEUTROPHIL,correct,2,True,"{'area': 13454.5, 'circularity': 0.48149277724373774, 'solidity': 0.8724507992088967, 'num_lobes': 1}","{'mean_hue': np.float64(105.19367061586082), 'texture_variance': np.float64(116.10237096445891), 'cn_ratio': np.float64(1.4338842975206612)}"
11,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 12453.0, 'circularity': 0.2084921208811071, 'solidity': 0.7223108378527305, 'num_lobes': 1}","{'mean_hue': np.float64(114.66516002374104), 'texture_variance': np.float64(102.9522521246441), 'cn_ratio': np.float64(1.7049116525258816)}"
12,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 11982.0, 'circularity': 0.24691448816114872, 'solidity': 0.7065483385912669, 'num_lobes': 2}","{'mean_hue': np.float64(105.57454106091905), 'texture_variance': np.float64(77.84764621624747), 'cn_ratio': np.float64(2.084748517104087)}"
13,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 10829.5, 'circularity': 0.2199896537877559, 'solidity': 0.740023233565669, 'num_lobes': 1}","{'mean_hue': np.float64(109.88246666336192), 'texture_variance': np.float64(84.06123084002307), 'cn_ratio': np.float64(1.8027703306523681)}"
