image_number,ground_truth,predicted,status,num_wbcs_detected,has_multiple_gt,nucleus_features,cytoplasm_features
0,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 15004.5, 'circularity': 0.2067286038806925, 'solidity': 0.7001469867711906, 'num_lobes': 1}","{'mean_hue': np.float64(117.8100920879534), 'texture_variance': np.float64(67.70011072812702), 'cn_ratio': np.float64(1.3788546255506609)}"
1,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 13062.5, 'circularity': 0.4420031987047959, 'solidity': 0.8057303232173698, 'num_lobes': 1}","{'mean_hue': np.float64(110.15768817455496), 'texture_variance': np.float64(65.85756433754253), 'cn_ratio': np.float64(1.620457298606905)}"
2,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 8949.0, 'circularity': 0.46789624133303115, 'solidity': 0.9061360874848117, 'num_lobes': 1}","{'mean_hue': np.float64(115.44758687258687), 'texture_variance': np.float64(57.98730635351292), 'cn_ratio': np.float64(1.1868484362469929)}"
3,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 16153.0, 'circularity': 0.4470005407673114, 'solidity': 0.8360766045548654, 'num_lobes': 1}","{'mean_hue': np.float64(103.14131166458313), 'texture_variance': np.float64(62.54252437097256), 'cn_ratio': np.float64(1.3488553083857577)}"
4,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 13894.0, 'circularity': 0.29633363482289676, 'solidity': 0.8124433529222583, 'num_lobes': 2}","{'mean_hue': np.float64(111.45851033701501), 'texture_variance': np.float64(66.02733867006981), 'cn_ratio': np.float64(1.5323303920150442)}"
5,NEUTROPHIL,EOSINOPHIL,incorrect,2,False,"{'area': 8282.0, 'circularity': 0.3216606518175832, 'solidity': 0.738376498907859, 'num_lobes': 1}","{'mean_hue': np.float64(111.12802093774363), 'texture_variance': np.float64(74.28006539767257), 'cn_ratio': np.float64(2.184405790049872)}"
6,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 13378.5, 'circularity': 0.5456773384454893, 'solidity': 0.8918108189181082, 'num_lobes': 1}","{'mean_hue': np.float64(96.26956460376826), 'texture_variance': np.float64(51.67522847303733), 'cn_ratio': np.float64(1.0787911084043849)}"
7,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 11861.5, 'circularity': 0.5217070998064436, 'solidity': 0.890937769932775, 'num_lobes': 1}","{'mean_hue': np.float64(109.44134319162046), 'texture_variance': np.float64(64.09289146051692), 'cn_ratio': np.float64(1.341765873015873)}"
8,BASOPHIL,NEUTROPHIL,incorrect,1,False,"{'area': 18492.0, 'circularity': 0.4478443272303943, 'solidity': 0.8464513766507221, 'num_lobes': 2}","{'mean_hue': np.float64(104.14295150547696), 'texture_variance': np.float64(60.750926922048514), 'cn_ratio': np.float64(0.989541914047606)}"
9,EOSINOPHIL,EOSINOPHIL,correct,1,False,"{'area': 16056.0, 'circularity': 0.26532351422474804, 'solidity': 0.6988465723612622, 'num_lobes': 1}","{'mean_hue': np.float64(86.65910202484594), 'texture_variance': np.float64(54.94845218907801), 'cn_ratio': np.float64(1.2436739659367397)}"
10,NEUTROPHIL,NEUTROPHIL,correct,2,True,"{'area': 13448.0, 'circularity': 0.48007997679260866, 'solidity': 0.8725385239253852, 'num_lobes': 1}","{'mean_hue': np.float64(105.4881722711361), 'texture_variance': np.float64(82.92295324918284), 'cn_ratio': np.float64(1.4419885277246653)}"
11,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 12525.5, 'circularity': 0.21596401119160197, 'solidity': 0.7196288529487805, 'num_lobes': 1}","{'mean_hue': np.float64(114.77937519779375), 'texture_variance': np.float64(68.23113395766465), 'cn_ratio': np.float64(1.713588472265262)}"
12,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 12011.0, 'circularity': 0.2575524812821915, 'solidity': 0.7088017467764304, 'num_lobes': 2}","{'mean_hue': np.float64(105.73661612254371), 'texture_variance': np.float64(57.47416127686111), 'cn_ratio': np.float64(2.097525354969574)}"
13,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 10906.0, 'circularity': 0.23019960302718656, 'solidity': 0.7383636302088623, 'num_lobes': 1}","{'mean_hue': np.float64(110.07072149716818), 'texture_variance': np.float64(59.448690746102244), 'cn_ratio': np.float64(1.803606324391544)}"
14,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 8451.0, 'circularity': 0.5658486485244176, 'solidity': 0.8854314002828855, 'num_lobes': 1}","{'mean_hue': np.float64(84.88767923526288), 'texture_variance': np.float64(50.053540823624125), 'cn_ratio': np.float64(1.7425101214574898)}"
15,MONOCYTE,MONOCYTE,correct,1,False,"{'area': 23518.5, 'circularity': 0.4462225810733156, 'solidity': 0.8304994967953812, 'num_lobes': 2}","{'mean_hue': np.float64(83.82998854427426), 'texture_variance': np.float64(62.07567853365299), 'cn_ratio': np.float64(0.9950603732162459)}"
16,NEUTROPHIL,NEUTROPHIL,correct,1,False,"{'area': 7620.0, 'circularity': 0.5594766757266739, 'solidity': 0.8755098523582466, 'num_lobes': 1}","{'mean_hue': np.float64(98.84650334075724), 'texture_variance': np.float64(53.12270471674247), 'cn_ratio': np.float64(1.4525103519668736)}"
17,EOSINOPHIL,EOSINOPHIL,correct,2,False,"{'area': 6537.0, 'circularity': 0.655115301996278, 'solidity': 0.9074125485841199, 'num_lobes': 1}","{'mean_hue': np.float64(90.29398012857978), 'texture_variance': np.float64(48.844799811000506), 'cn_ratio': np.float64(1.0221027479091995)}"
